"","x"
"337","https://www.ptt.cc/bbs/HatePolitics/M.1563530028.A.9CE.html"
"338","https://www.ptt.cc/bbs/HatePolitics/M.1563530040.A.55E.html"
"339","https://www.ptt.cc/bbs/HatePolitics/M.1563530050.A.584.html"
"340","https://www.ptt.cc/bbs/HatePolitics/M.1563530272.A.0B0.html"
"341","https://www.ptt.cc/bbs/HatePolitics/M.1563530363.A.54A.html"
"342","https://www.ptt.cc/bbs/HatePolitics/M.1563530386.A.584.html"
"343","https://www.ptt.cc/bbs/HatePolitics/M.1563530455.A.0C4.html"
"344","https://www.ptt.cc/bbs/HatePolitics/M.1563530511.A.C43.html"
"345","https://www.ptt.cc/bbs/HatePolitics/M.1563530523.A.A2E.html"
"346","https://www.ptt.cc/bbs/HatePolitics/M.1563530570.A.37D.html"
"347","https://www.ptt.cc/bbs/HatePolitics/M.1563530577.A.E69.html"
